Machine,ProcessingTime_seconds
013 Engel,51.80435992375996
014 BMB,25.102497798406834
017 Negri Bossi,37.27245295833185
018 Engel,40.318844266932366
019 Negri Bossi,53.16465406104834
020 BMB,19.738329330626588
024 BMB,70.13931216684239
030 Negri Bossi,38.79678403111922
036 Toyo,22.441975017303285
069 BMB,28.928265438003024
070 BMB,37.16138149464257
071 BMB,36.310058731501194
072 Toyo,33.82985795874853
073 Toyo,18.02920794502885
074 Engel,48.04732593432392
101 Netstal,22.322766598638985
107 Toyo,16.70220109961978
112 BMB,18.412885577200804
119 Toyo,14.682844177797131
121 Toyo,9.752319887990158
122 Toyo,13.517660981083214
123 Engel,18.361703659632038
124 Toyo,10.108025646330209
125 Toyo,12.938744474776744
126 Toyo,15.196151179421689
127 Toyo,16.305810037787282
128 Toyo,9.731493935918174
129 Toyo,11.074796542719147
130 Toyo,14.62127618016999
131 Toyo,10.854338381202172
132 Toyo,13.94307547701584
133 Toyo,16.155019171228222
134 Toyo,9.59546387645714
135 Toyo,31.217485641863412
136 Toyo,12.547674510914913
137 Toyo,24.056820441780115
138 Toyo,22.27427974282851
139 Toyo,14.775223547788569
140 Toyo,11.853135582388727
141 Toshiba,10.863904830750574
142 Toshiba,5.980520174664895
143 Toyo,16.029677009529816
144 Toyo,10.182931210147949
145 Toyo,15.323847649838013
146 Toshiba,11.24432171913382
147 Toshiba,8.28448652055733
148 Toyo,11.978947400971713
207 Toyo,10.43377984549591
208 Toyo,9.449807560247885
209 Toyo,18.538353712826108
210 Toyo,17.688760253410713
211 Toyo,8.129065655677495
212 Toyo,24.478689368269567
213 Toyo,24.461749366834944
214 Toyo,24.586220140597657
215 Toyo,44.200544619602795
216 Toshiba,15.856967994903322
217 Toshiba,16.950164541993253
218 Toshiba,12.584700878543435
219 Demag,9.520322922155032
220 Demag,10.042174441968555
221 Toshiba,10.30438060956065
222 Toyo,10.685411051321633
223 Toyo,13.375435373320292
224 Toyo,13.536949644031093
225 Toshiba,12.684995540444634
226 Toyo,29.236985389990952
227 Toyo,32.01034488382412
228 Toyo,13.542835143928734
229 Toyo,13.558651047682046
230 Toyo,8.893341884849864
231 Toshiba,15.725288241695283
232 Toyo,12.759611429233733
233 Toyo,16.169785029872514
234 Toshiba,13.873073255410675
235 Toyo,18.78091198360877
236 Toyo,17.812876963536585
237 Toyo,17.04158853472634
238 Toyo,17.97837707413816
239 Toyo,17.326049041022795
240 Toyo,15.257599605721934
241 Toyo,15.58231457784065
242 Toyo,18.710056579906627
243 Toyo,17.09383591283811
244 Toyo,16.66643786230986
245 Toshiba,14.229721872358814
246 Toshiba,10.715792283140033
247 Toshiba,10.953381172306713
248 Toshiba,11.627179731496303
249 Toshiba,8.09222387774572
250 Toshiba,4.756602896110897
251 Toyo,10.953425954069308
252 Toyo,12.841580969273759
253 Toyo,17.63882558327709
254 Toyo,16.78740880555015
255 Toshiba,22.73252259465217
256 Toshiba,23.158504605447487
257 Toshiba,7.457165519039884
258 BMB,18.248228682931128
259 BMB,38.672710139784
260 Engel,59.038570166394386
261 Toshiba,15.133439995249914
262 Toshiba,10.828096178011483
264 Toshiba,32.22412768645816
265 Toshiba,10.40568849340604
266 BMB,39.35325873076172
267 BMB,42.18212676929549
268 Toyo,21.180184184839245
269 Toyo,24.56667316813295
270 Toshiba,24.621993167855837
271 Toshiba,18.892154657273192
272 Toshiba,3.9426830210850135
273 Toshiba,17.726701241850744
275 Toshiba,9.275195682270356
277 Toshiba,16.39035254581929
278 Toshiba,13.275665349709104
279 Toshiba,15.295491436682969
280 Toshiba,15.158393560096641
281 Toshiba,16.963203333461607
282 Toshiba,15.962027212673316
283 Toshiba,16.23923501125373
284 Toshiba,17.957599906928927
285 Krauss,24.6056223055218
286 BMB,28.045575496405764
287 BMB,38.03309513278244
288 BMB,35.614440029249344
289 TOYO,32.90264506475841
290 TEDERIC,63.086775880704174
291 NISSEI,5.887052909248886
292 MIPET-2P,3.3381285193013155
293 Toyo,15.894070777631109
294 Toyo,23.314257436711465
295 Toyo,33.39646481684111
296 JSW,27.341168446950917
297 JSW,18.08692415742549
298 Engel,34.82732967009725
299 Toyo,30.241506164035883
