Machine,AverageDefectRate
013 Engel,0.042651286618322584
014 BMB,0.05243504169605951
017 Negri Bossi,0.05152281636155785
018 Engel,0.027411456060753396
019 Negri Bossi,0.0637726603556407
020 BMB,0.05921554874458654
024 BMB,0.04676733295197181
030 Negri Bossi,0.05369246244637719
036 Toyo,0.054392209279223
069 BMB,0.04686785729846815
070 BMB,0.055834839534721244
071 BMB,0.04092257067134196
072 Toyo,0.035307723566945316
073 Toyo,0.030931808670946522
074 Engel,0.06332119104916806
101 Netstal,0.03421206158068278
107 Toyo,0.02797468497517395
112 BMB,0.04721606066009506
119 Toyo,0.03597555168081491
121 Toyo,0.02577293388274329
122 Toyo,0.028932170362126416
123 Engel,0.03926908385793596
124 Toyo,0.022361907890769576
125 Toyo,0.022572994586070334
126 Toyo,0.03547007393330156
127 Toyo,0.03928952404680135
128 Toyo,0.0347893580488002
129 Toyo,0.024954157846269427
130 Toyo,0.018534789866512368
131 Toyo,0.027876672606021526
132 Toyo,0.024455012540836308
133 Toyo,0.038142764524850006
134 Toyo,0.03124721514188654
135 Toyo,0.04035808994646632
136 Toyo,0.054854026834446686
137 Toyo,0.02799009489340983
138 Toyo,0.03474696813430559
139 Toyo,0.027383087491834667
140 Toyo,0.0320079252652137
141 Toshiba,0.043449369562527346
142 Toshiba,0.0019686159056472438
143 Toyo,0.03695712141248262
144 Toyo,0.03988200372314307
145 Toyo,0.030096816204228487
146 Toshiba,0.040953827423307006
147 Toshiba,0.044967812069980656
148 Toyo,0.02636164893049253
207 Toyo,0.018939037420842787
208 Toyo,0.019909664658000235
209 Toyo,0.043920607945100935
210 Toyo,0.054228160459272264
211 Toyo,0.03446057344719109
212 Toyo,0.04285952722222762
213 Toyo,0.04041859582406702
214 Toyo,0.045740810202930055
215 Toyo,0.03884396268674618
216 Toshiba,0.03373082633641749
217 Toshiba,0.048177012045719135
218 Toshiba,0.029999739263759345
219 Demag,0.04580351791410788
220 Demag,0.03366239913043636
221 Toshiba,0.03735975064666914
222 Toyo,0.023060210820216982
223 Toyo,0.019816515659504756
224 Toyo,0.035437547435393575
225 Toshiba,0.03883302602551924
226 Toyo,0.015218909700833826
227 Toyo,0.05977376176098467
228 Toyo,0.03790946509155023
229 Toyo,0.02173298947412347
230 Toyo,0.029934343100084745
231 Toshiba,0.04751767720692242
232 Toyo,0.0321519910707288
233 Toyo,0.03624692009593282
234 Toshiba,0.04718607293816816
235 Toyo,0.02315373317958163
236 Toyo,0.023057456481476328
237 Toyo,0.029157747964552123
238 Toyo,0.029787708572485024
239 Toyo,0.021971332944780136
240 Toyo,0.03020795785975714
241 Toyo,0.03215799521137196
242 Toyo,0.0384341129409681
243 Toyo,0.0472804647749148
244 Toyo,0.03194364370884916
245 Toshiba,0.044888497673169804
246 Toshiba,0.03212769376710521
247 Toshiba,0.030778787582881422
248 Toshiba,0.04376342256104993
249 Toshiba,0.029855948224751596
250 Toshiba,0.037688779373458256
251 Toyo,0.04390084842484669
252 Toyo,0.028374698338337886
253 Toyo,0.0373446622928713
254 Toyo,0.04755384221845657
255 Toshiba,0.041325957600446384
256 Toshiba,0.0051478483569400895
257 Toshiba,0.02082152281499239
258 BMB,0.05138251343483627
259 BMB,0.05297395607475046
260 Engel,0.2513604258705185
261 Toshiba,0.0427678125997674
262 Toshiba,0.030214176727945446
264 Toshiba,0.03761344153029825
265 Toshiba,0.039124385280892356
266 BMB,0.04876419139249591
267 BMB,0.031124423811139834
268 Toyo,0.03883213041434781
269 Toyo,0.05509365299217338
270 Toshiba,0.02898697096426423
271 Toshiba,0.04076507186007054
272 Toshiba,0.015478580423481094
273 Toshiba,0.03750294522204281
275 Toshiba,0.010916260278160816
277 Toshiba,0.02704250951213144
278 Toshiba,0.02689238193515995
279 Toshiba,0.037437579011224076
280 Toshiba,0.04095245271225069
281 Toshiba,0.04011865924581399
282 Toshiba,0.037742461891689914
283 Toshiba,0.04372032884125439
284 Toshiba,0.054251234199240626
285 Krauss,0.04263678725713143
286 BMB,0.05308999591469348
287 BMB,0.04617114558879495
288 BMB,0.04000850320078837
289 TOYO,0.04199143841073591
290 TEDERIC,0.08503467444972727
291 NISSEI,0.1026394060868273
292 MIPET-2P,0.07258105027804274
293 Toyo,0.03149071903029974
294 Toyo,0.06089330501964127
295 Toyo,0.02918406908090456
296 JSW,0.037989753010423497
297 JSW,0.02201675481891512
298 Engel,0.039920853886110656
299 Toyo,0.027866562143696948
